Rank,Model,Non_Live Overall Acc,AST Summary,Exec Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Simple Exec,Python Simple Exec,REST Simple Exec,Multiple Exec,Parallel Exec,Parallel Multiple Exec,Irrelevance Detection
1,Qwen2.5-1.5B-Instruct (Prompt),26.21%,58.98%,0.00%,61.92%,84.75%,45.00%,56.00%,78.50%,44.50%,51.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2,Qwen2.5-3B-Instruct (Prompt),18.64%,41.94%,0.00%,41.25%,52.75%,37.00%,34.00%,49.50%,46.00%,31.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
