,Overall Acc,Model,Cost ($),Mean,SD,P95,AST Summary,Simple,Multiple,Parallel,Multiple Parallel,Exec Summary,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Simple,Multiple,Parallel,Multiple Parallel,Overall Acc,Base,Miss Func,Miss Param,Long Context,Composite,Relevance,Irrelevance,Organization,License
24,52.5,Gemma-2-9b-it (Prompt),N/A,N/A,N/A,N/A,84.38,74.5,92,88,83,85.18,84.21,94,90,72.5,69.21,73.64,73.58,56.25,58.33,3.75,6,2.5,4,2.5,N/A,87.8,72.45,Google,gemma-terms-of-use
25,52.11,Claude-3-Opus-20240229 (FC tools-2024-04-04),77.36,11.56,8.71,19.82,58.67,68.67,89,41,36,62.05,88.71,88,44,27.5,74.1,74.81,75.6,50,41.67,19.5,30,7,18,23,N/A,63.41,77.8,Anthropic,Proprietary
26,51.81,Open-Mixtral-8x22b (Prompt),7.11,1.84,5.15,3.83,86.92,77.67,92.5,90,87.5,88.23,91.43,96,88,77.5,68.46,72.87,61.33,81.25,66.67,0.88,1.5,1,0.5,0.5,N/A,65.85,74.85,Mistral AI,Proprietary
27,51.64,Open-Mistral-Nemo-2407 (FC),0.66,1.37,2.45,2.72,81.21,63.33,92,86.5,83,77.04,55.64,90,90,72.5,62.37,71.71,67.79,62.5,66.67,14.25,19,8.5,15,14.5,N/A,60.98,62.4,Mistral AI,Proprietary
28,51.59,Hammer2.0-1.5b (FC),N/A,N/A,N/A,N/A,84.06,75.25,90.5,88,82.5,88.95,93.29,92,88,82.5,63.22,70.54,68.56,56.25,66.67,7.13,7.5,4,7.5,9.5,N/A,92.68,60.64,MadeAgents,cc-by-nc-4.0
29,51.5,Meta-Llama-3-70B-Instruct (Prompt),N/A,N/A,N/A,N/A,87.17,75.17,95.5,90.5,87.5,89.21,95.86,96,80,85,66.15,78.68,79.65,68.75,66.67,3.25,2.5,3,4.5,3,N/A,92.68,52.78,Meta,Meta Llama 3 Community
30,51.21,Granite-20b-FunctionCalling (FC),N/A,N/A,N/A,N/A,82.33,72.83,91.5,84.5,80.5,85.91,85.64,92,86,80,57.49,65.12,55.35,43.75,54.17,11.5,13,10.5,13.5,9,N/A,95.12,72.55,IBM,Apache-2.0
31,51,Mistral-Medium-2312 (Prompt),5.79,3.55,15.18,7.87,74.02,70.58,91.5,65.5,68.5,81.73,95.43,92,72,67.5,73.1,68.6,73,81.25,50,0.62,1,0,0.5,1,N/A,60.98,95.21,Mistral AI,Proprietary
32,50.81,Command-R-Plus (Prompt) (Original),8.0,1.2,1.02,2.74,80.9,71.08,91.5,82,79,85.07,93.29,90,82,75,69.75,66.67,70.3,68.75,70.83,0.5,1,0,0.5,0.5,N/A,73.17,72.83,Cohere For AI,cc-by-nc-4.0
33,50.75,Gorilla-OpenFunctions-v2 (FC),N/A,6.97,9.8,19.66,86.29,77.67,95,89,83.5,86.09,95.86,96,80,72.5,67.44,73.64,58.73,68.75,41.67,0,0,0,0,0,N/A,73.17,75.05,Gorilla LLM,Apache 2.0
34,50.15,Llama-3.1-8B-Instruct (Prompt),N/A,N/A,N/A,N/A,83.62,73,94.5,83.5,83.5,87.29,85.64,96,90,77.5,57.93,71.32,72.23,50,45.83,11.38,14,7,10.5,14,N/A,78.05,41.62,Meta,Meta Llama 3 Community
35,49.02,xLAM-8x7b-r (FC),N/A,N/A,N/A,N/A,68.85,68.42,88,63.5,55.5,78.43,87.71,88,68,70,69.12,68.22,76.76,62.5,54.17,4,9,2,4,1,N/A,87.8,68.12,Salesforce,cc-by-nc-4.0
36,48.82,Qwen2.5-1.5B-Instruct (Prompt),N/A,N/A,N/A,N/A,75.19,70.25,85.5,73.5,71.5,82.82,72.79,94,82,82.5,61.71,64.73,59.88,50,41.67,6.62,7.5,6,6,7,N/A,75.61,67.17,Qwen,apache-2.0
37,47.3,GPT-3.5-Turbo-0125 (Prompt),1.05,0.85,1.98,1.33,65.04,62.67,83,65.5,49,67.68,46.21,90,72,62.5,67.48,63.57,64.61,68.75,54.17,6.62,8,1.5,9,8,N/A,80.49,75.47,OpenAI,Proprietary
38,47.02,Hermes-2-Pro-Llama-3-8B (FC),N/A,N/A,N/A,N/A,76.54,64.17,89.5,79.5,73,75.48,69.93,94,78,60,61.79,67.44,64.42,56.25,45.83,5.12,5.5,1.5,8,5.5,N/A,56.1,58.5,NousResearch,apache-2.0
39,47,Command-R-Plus (FC) (Original),3.2,3.65,8.78,8.31,76.83,66.33,90,82,69,78.61,88.93,88,80,57.5,57.26,66.67,60.56,56.25,50,8.25,10,0,10,13,N/A,92.68,53.32,Cohere For AI,cc-by-nc-4.0
40,46.96,Qwen2-7B-Instruct (Prompt),N/A,N/A,N/A,N/A,74.85,67.42,87.5,71,73.5,81.7,86.79,88,82,70,54.24,59.3,62.2,50,66.67,11.12,9,11,13,11.5,N/A,87.8,47.41,Qwen,apache-2.0
41,46.52,Hermes-2-Pro-Llama-3-70B (FC),N/A,N/A,N/A,N/A,78.85,59.92,80,88,87.5,80.45,76.29,82,86,77.5,60.51,63.18,53.04,56.25,66.67,0.25,0.5,0,0,0.5,N/A,60.98,70.27,NousResearch,apache-2.0
42,45.3,Mistral-small-2402 (FC),2.03,1.59,2.9,2.78,57.27,67.08,93.5,20,48.5,53.77,87.07,92,16,20,70.19,63.57,71.46,12.5,12.5,7,10,0,7.5,10.5,N/A,82.93,78.43,Mistral AI,Proprietary
43,44.62,Hermes-2-Pro-Mistral-7B (FC),N/A,N/A,N/A,N/A,72.83,61.33,87.5,78.5,64,77.3,61.71,94,86,67.5,56.46,64.73,59.4,43.75,37.5,7.62,8,6,10.5,6,N/A,75.61,38.95,NousResearch,apache-2.0
44,44.35,Gemini-1.5-Pro-001 (FC),2.05,1.6,1.81,3.53,31.77,35.58,39.5,26.5,25.5,70.39,75.07,80,74,52.5,65.53,57.75,58.24,75,41.67,12.62,17.5,3,13.5,16.5,N/A,63.41,81.22,Google,Proprietary
45,44.34,Open-Mixtral-8x22b (FC),4.39,2.39,10.76,5.89,61.08,71.33,94.5,10.5,68,63.82,84.29,94,22,55,66.86,73.26,72.32,6.25,41.67,7.5,10.5,1,8.5,10,N/A,82.93,43.94,Mistral AI,Proprietary
46,44.18,Gemini-1.5-Pro-002 (FC),2.01,1.56,3.72,2.59,38.27,54.08,39.5,29.5,30,69.54,69.64,80,76,52.5,64.59,58.91,61.33,81.25,58.33,11.25,20,0.5,12,12.5,N/A,70.73,74.44,Google,Proprietary
47,44.03,DBRX-Instruct (Prompt),N/A,N/A,N/A,N/A,67.04,72.17,91.5,56.5,48,75.04,90.14,88,62,60,62.33,74.81,71.65,75,58.33,0.88,2.5,0,0,1,N/A,87.8,48.98,Databricks,Databricks Open Model
48,43.98,Open-Mixtral-8x7b (Prompt),1.33,1.97,7.09,3.04,57.94,68.75,86,40,37,65.91,71.14,88,52,52.5,64.95,57.36,65,68.75,50,2.5,4.5,0.5,2.5,2.5,N/A,68.29,76.16,Mistral AI,Proprietary
49,43.88,GPT-4o-2024-08-06 (Prompt),5.06,0.83,1.46,1.51,49.35,32.42,48,74,43,69.93,49.71,82,78,70,62.19,42.64,42.82,25,41.67,5.88,9.5,1,6.5,6.5,N/A,36.59,94.19,OpenAI,Proprietary
50,43.71,Open-Mistral-Nemo-2407 (Prompt),1.25,1.15,0.99,2.36,85.6,77.42,93.5,87,84.5,91.23,95.93,96,88,85,50.33,78.29,74.54,75,62.5,1.12,0.5,0.5,1.5,2,N/A,90.24,10.16,Mistral AI,Proprietary
51,43.69,Gemini-1.5-Flash-001 (FC),0.13,0.48,0.64,0.73,33.56,47.25,40,22.5,24.5,62.41,53.14,76,68,52.5,64.9,58.14,60.46,43.75,41.67,14.75,21,5,16.5,16.5,N/A,58.54,76.12,Google,Proprietary
52,42.98,Llama-3.2-3B-Instruct (Prompt),N/A,N/A,N/A,N/A,77.77,64.08,90,80.5,76.5,69.41,78.14,92,50,57.5,50.91,47.67,44.74,0,29.17,4,3.5,1.5,7,4,N/A,63.41,68.81,Meta,Meta Llama 3 Community
53,42.87,Gemini-1.5-Flash-002 (FC),0.12,0.62,1.3,0.97,35.42,49.67,39,24,29,60.84,60.86,80,50,52.5,67.35,58.14,57.96,68.75,50,8.13,14,0.5,8.5,9.5,N/A,60.98,87.64,Google,Proprietary
54,40.92,MiniCPM3-4B (FC),N/A,N/A,N/A,N/A,63.19,67.75,74,60.5,50.5,48.7,44.79,50,40,60,59.88,56.98,49.47,56.25,33.33,5,7.5,4,5,3.5,N/A,58.54,73.64,openbmb,Apache-2.0
